device,date,timestamp,event_kind,basename,duplicate_path_count,preferred,path,axis_summary_for_path
USER_DEVICE_12G,2025-08-05,2025-08-05 06:51:36,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-065136.ips,2,YES,USER_DEVICE_12G/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-065136.ips,daemon_seam:137;evidence_pressure:1;trial_ab:296
USER_DEVICE_12G,2025-08-05,2025-08-05 06:51:36,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-065136.ips,2,NO,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-05/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-065136.ips,daemon_seam:137;evidence_pressure:1;trial_ab:296
USER_DEVICE_MINI2,2025-08-05,2025-08-05 07:01:55,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,3,YES,USER_DEVICE_MINI2/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,daemon_seam:43;evidence_pressure:1;trial_ab:100
USER_DEVICE_MINI2,2025-08-05,2025-08-05 07:01:55,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,daemon_seam:43;evidence_pressure:1;trial_ab:100
USER_DEVICE_MINI2,2025-08-05,2025-08-05 07:01:55,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,daemon_seam:43;evidence_pressure:1;trial_ab:100
USER_DEVICE_12G,2025-08-06,2025-08-06 02:10:35,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-021035.ips,2,YES,USER_DEVICE_12G/2025/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-021035.ips,daemon_seam:70;evidence_pressure:1;trial_ab:151
USER_DEVICE_12G,2025-08-06,2025-08-06 02:10:35,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-021035.ips,2,NO,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-06/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-021035.ips,daemon_seam:70;evidence_pressure:1;trial_ab:151
USER_DEVICE_MINI2,2025-08-06,2025-08-06 04:08:53,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-040853.ips,2,YES,USER_DEVICE_MINI2/2025/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-040853.ips,daemon_seam:75;evidence_pressure:1;trial_ab:172
USER_DEVICE_MINI2,2025-08-06,2025-08-06 04:08:53,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-040853.ips,2,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-040853.ips,daemon_seam:75;evidence_pressure:1;trial_ab:172
USER_DEVICE_12G,2025-08-07,2025-08-07 02:10:40,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-021040.ips,2,YES,USER_DEVICE_12G/2025/08/7/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-021040.ips,daemon_seam:139;evidence_pressure:1;trial_ab:299
USER_DEVICE_12G,2025-08-07,2025-08-07 02:10:40,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-021040.ips,2,NO,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-07/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-021040.ips,daemon_seam:139;evidence_pressure:1;trial_ab:299
USER_DEVICE_MINI2,2025-08-07,2025-08-07 05:08:24,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-050824.ips,3,YES,USER_DEVICE_MINI2/2025/08/7/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-050824.ips,daemon_seam:41;evidence_pressure:1;trial_ab:94
USER_DEVICE_MINI2,2025-08-07,2025-08-07 05:08:24,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-050824.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/7/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-050824.ips,daemon_seam:41;evidence_pressure:1;trial_ab:94
USER_DEVICE_MINI2,2025-08-07,2025-08-07 05:08:24,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-050824.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-07-050824.ips,daemon_seam:41;evidence_pressure:1;trial_ab:94
USER_DEVICE_MINI2,2025-08-08,2025-08-08 02:52:26,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-025226.ips,3,YES,USER_DEVICE_MINI2/2025/08/8/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-025226.ips,daemon_seam:46;evidence_pressure:1;trial_ab:102
USER_DEVICE_MINI2,2025-08-08,2025-08-08 02:52:26,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-025226.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/8/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-025226.ips,daemon_seam:46;evidence_pressure:1;trial_ab:102
USER_DEVICE_MINI2,2025-08-08,2025-08-08 02:52:26,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-025226.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-025226.ips,daemon_seam:46;evidence_pressure:1;trial_ab:102
USER_DEVICE_12G,2025-08-08,2025-08-08 09:28:52,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-092852.ips,2,YES,USER_DEVICE_12G/2025/08/8/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-092852.ips,daemon_seam:139;evidence_pressure:1;trial_ab:299
USER_DEVICE_12G,2025-08-08,2025-08-08 09:28:52,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-092852.ips,2,NO,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-08-092852.ips,daemon_seam:139;evidence_pressure:1;trial_ab:299
USER_ORIGIN_MINI1,2025-08-09,2025-08-09 01:01:32,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-010132.ips,2,NO,USER_ORIGIN_MINI1/2025/08/14/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-010132.ips,cloud_trust:6;daemon_seam:117;evidence_pressure:1;trial_ab:313
USER_ORIGIN_MINI1,2025-08-09,2025-08-09 01:01:32,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-010132.ips,2,YES,USER_ORIGIN_MINI1/2025/08/9/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-010132.ips,cloud_trust:6;daemon_seam:117;evidence_pressure:1;trial_ab:313
USER_DEVICE_MINI2,2025-08-09,2025-08-09 02:37:19,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-023719.ips,3,YES,USER_DEVICE_MINI2/2025/08/9/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-023719.ips,daemon_seam:51;evidence_pressure:1;trial_ab:119
USER_DEVICE_MINI2,2025-08-09,2025-08-09 02:37:19,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-023719.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/9/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-023719.ips,daemon_seam:51;evidence_pressure:1;trial_ab:119
USER_DEVICE_MINI2,2025-08-09,2025-08-09 02:37:19,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-023719.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-09-023719.ips,daemon_seam:51;evidence_pressure:1;trial_ab:119
USER_DEVICE_MINI2,2025-08-10,2025-08-10 07:49:48,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-10-074948.ips,3,YES,USER_DEVICE_MINI2/2025/08/10/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-10-074948.ips,daemon_seam:14;evidence_pressure:1;trial_ab:30
USER_DEVICE_MINI2,2025-08-10,2025-08-10 07:49:48,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-10-074948.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/10/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-10-074948.ips,daemon_seam:14;evidence_pressure:1;trial_ab:30
USER_DEVICE_MINI2,2025-08-10,2025-08-10 07:49:48,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-10-074948.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-10-074948.ips,daemon_seam:14;evidence_pressure:1;trial_ab:30
