origin_device,origin_date,follower_device,follower_date,lag_days,origin_final_tier,follower_final_tier,origin_score,follower_score,pair_score,follower_role,follower_raw_axes_present,follower_csv_axes_present,support_class
USER_ORIGIN_MINI1,2025-08-02,EXT_REMOTE_GEO_C,2025-08-02,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,420.325,303.572,420.653,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-04,EXT_CONTACT_D,2025-08-06,2,A_CROSS_CORE_0804,B_RAW_WINDOW_SUPPORT,420.684,315.142,420.313,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,USER_DEVICE_MINI2,2025-08-02,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,318.985,419.064,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,USER_DEVICE_MINI2,2025-08-06,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,318.889,419.027,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,EXT_CONTACT_D,2025-08-07,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,316.499,419.007,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-07,EXT_CONTACT_D,2025-08-08,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,418.6,313.684,418.334,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,EXT_CONTACT_D,2025-08-06,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,315.142,417.65,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,EXT_REMOTE_GEO_C,2025-08-07,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,324.866,416.303,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,EXT_CONTACT_D,2025-08-02,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,316.146,416.225,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,EXT_CONTACT_D,2025-08-08,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,313.684,416.192,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
