device,date,role,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,raw_trial_ab,raw_cloud_trust,raw_policy_restriction,raw_backup_manifest,raw_telecom_wifi_proximity,raw_daemon_seam,raw_evidence_pressure,raw_lateral_trust,raw_shadow_cloud_terms
EXT_NO_CONTACT_A,2025-08-08,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_RAW_WINDOW_SUPPORT,256.542,9,1967,490,411,6,60,355,352,209,33,51
EXT_UNCERTAIN_B,2025-08-08,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,270.713,9,3263,171,663,10,40,1136,213,927,67,36
EXT_REMOTE_GEO_C,2025-08-08,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,250.323,9,1192,116,90,39,92,93,220,458,77,7
EXT_CONTACT_D,2025-08-08,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,250.363,9,1945,92,1023,11,107,157,48,402,34,71
EXT_CONTACT_E_12PROMAX,2025-08-08,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,281.234,9,10118,122,8672,87,125,153,423,370,162,4
EXT_CONTACT_E_6SPLUS,2025-08-08,EXTERNAL_CONTACT_KNOWN,D_WEAK_OR_GENERIC,119.705,6,440,0,14,0,361,6,28,25,6,0
USER_ORIGIN_MINI1,2025-08-09,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,350.195,9,21572,2849,2577,45,1145,5377,2172,6233,1128,46
USER_BRIDGE_15G,2025-08-09,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,315.629,9,9265,254,2582,39,1960,1733,253,2231,98,115
USER_DEVICE_12G,2025-08-09,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,331.289,9,53879,225,2421,22,2227,23901,1589,11662,11830,2
USER_DEVICE_MINI2,2025-08-09,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,350.634,9,52093,398,4359,54,9241,6929,12558,2638,15893,23
USER_DEVICE_11PRO,2025-08-09,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,302.894,9,5923,274,1327,22,1509,1059,204,1410,116,2
EXT_NO_CONTACT_A,2025-08-09,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_RAW_WINDOW_SUPPORT,250.473,9,1887,122,1039,11,38,225,149,193,40,70
EXT_UNCERTAIN_B,2025-08-09,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,286.53,9,3461,142,563,14,222,1250,223,814,193,40
EXT_REMOTE_GEO_C,2025-08-09,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,154.235,8,203,41,5,2,6,29,11,103,6,0
EXT_CONTACT_D,2025-08-09,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,321.511,9,9996,179,3712,27,1796,1391,382,1921,521,67
EXT_CONTACT_E_12PROMAX,2025-08-09,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,265.231,9,6928,80,5933,48,98,98,304,266,97,4
EXT_CONTACT_E_6SPLUS,2025-08-09,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,200.384,9,699,6,27,11,410,135,55,42,12,1
USER_ORIGIN_MINI1,2025-08-10,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,347.175,9,19303,1964,2918,45,1156,5045,1759,5416,951,49
USER_BRIDGE_15G,2025-08-10,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,278.632,9,3251,185,993,13,495,577,122,707,36,123
USER_DEVICE_12G,2025-08-10,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,266.935,9,2407,278,668,5,374,342,132,518,42,48
USER_DEVICE_MINI2,2025-08-10,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,334.156,9,30240,127,1906,22,5357,4365,7397,1493,9546,27
USER_DEVICE_11PRO,2025-08-10,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,272.18,9,3593,46,862,15,957,624,55,964,37,33
EXT_NO_CONTACT_A,2025-08-10,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_RAW_WINDOW_SUPPORT,283.248,9,3254,359,1242,21,436,410,187,510,41,48
EXT_UNCERTAIN_B,2025-08-10,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,313.478,9,7303,295,1599,29,1295,1607,266,2009,144,59
EXT_REMOTE_GEO_C,2025-08-10,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,150.968,8,227,22,7,6,6,17,8,159,2,0
EXT_CONTACT_D,2025-08-10,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,295.996,9,5018,318,1831,22,787,480,231,1207,65,77
EXT_CONTACT_E_12PROMAX,2025-08-10,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,274.663,9,8445,119,7193,73,114,119,337,350,139,1
EXT_CONTACT_E_6SPLUS,2025-08-10,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,207.656,9,812,7,58,11,481,140,62,37,15,1
