device,date,role,final_tier,support_class,combined_score,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,csv_support_score,csv_axes_present,csv_total_hits,raw_trial_ab,csv_trial_ab,raw_cloud_trust,csv_cloud_trust,raw_policy_restriction,csv_policy_restriction,raw_backup_manifest,csv_backup_manifest,raw_telecom_wifi_proximity,csv_telecom_wifi_proximity,raw_daemon_seam,csv_daemon_seam,raw_evidence_pressure,csv_evidence_pressure,raw_lateral_trust,csv_lateral_trust,raw_shadow_cloud_terms,csv_shadow_cloud_terms
EXT_UNCERTAIN_B,2025-08-09,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,356.474,B_RAW_WINDOW_SUPPORT,286.53,9,3461,159.84,9,13740,142,1032,563,1639,14,667,222,1312,1250,1217,223,1899,814,2988,193,152,40,2834
USER_DEVICE_11PRO,2025-08-01,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,351.89,B_RAW_WINDOW_SUPPORT,286.726,9,4548,169.041,9,36861,1765,3430,460,6374,6,1876,191,6009,270,5123,1210,1195,136,6658,489,1999,21,4197
EXT_UNCERTAIN_B,2025-08-06,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,351.181,B_RAW_WINDOW_SUPPORT,279.903,9,3250,163.651,9,27192,316,1778,750,4561,10,1618,110,2727,867,2797,288,2547,795,5632,79,125,35,5407
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,349.627,A_RAW_CORE_0804,270.681,9,3816,162.702,9,25322,228,2347,687,3778,9,2229,27,2350,1679,3445,184,2256,883,4676,78,80,41,4161
USER_BRIDGE_15G,2025-08-10,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,349.477,B_RAW_WINDOW_SUPPORT,278.632,9,3251,170.985,9,37082,185,3955,993,3887,13,742,495,3961,577,8944,122,3798,707,6688,36,1843,123,3264
EXT_UNCERTAIN_B,2025-08-07,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,348.546,B_RAW_WINDOW_SUPPORT,279.417,9,3333,157.512,9,13853,280,1073,713,1740,11,752,114,1132,847,1104,254,2171,1008,3112,101,61,5,2708
EXT_CONTACT_E_12PROMAX,2025-08-08,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,346.939,B_RAW_WINDOW_SUPPORT,281.234,9,10118,170.586,9,92211,122,12186,8672,12516,87,10504,125,10818,153,12950,423,4020,370,14805,162,572,4,13840
USER_DEVICE_MINI2,2025-08-03,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,346.537,B_RAW_WINDOW_SUPPORT,281.388,9,4191,168.996,9,27053,534,2572,2463,4364,51,1281,69,4537,270,3571,351,1723,333,4907,57,1477,63,2621
EXT_CONTACT_E_12PROMAX,2025-08-02,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,342.353,B_RAW_WINDOW_SUPPORT,277.226,9,5937,168.934,9,47531,221,6131,4432,6662,50,5152,88,5068,148,6645,255,1947,634,7636,102,595,7,7695
USER_BRIDGE_15G,2025-08-05,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,340.813,B_RAW_WINDOW_SUPPORT,269.639,9,2636,171.927,9,79678,273,8453,1214,12064,19,1536,65,10559,301,18200,159,4655,443,13761,48,4237,114,6213
